name,cellulose
"Achromobacter insolitus LCu2",2
"Achromobacter pestifer FDAARGOS_790",2
"Achromobacter ruhlandii SCCH3:ACH 33-1365",2
"Achromobacter sp. B7",2
"Achromobacter insolitus FDAARGOS_88",2
"Achromobacter insolitus DSM 23807",2
"Achromobacter spanius DSM 23806",2
"Achromobacter insolitus NCTC13520",2
"Achromobacter spanius UQ283",2
"Achromobacter spanius MYb73",2
"Achromobacter sp. MFA1 R4",2
"Achromobacter xylosoxidans A8",2
"Achromobacter spanius NCTC13519",2
"Achromobacter xylosoxidans FDAARGOS_147",2
"Achromobacter xylosoxidans FDAARGOS_150",2
"Achromobacter xylosoxidans FDAARGOS_789",2
"Achromobacter xylosoxidans AX1",2
"Achromobacter xylosoxidans C54",2
"Achromobacter xylosoxidans GD03",2
"Achromobacter xylosoxidans FDAARGOS_162",2
"Achromobacter xylosoxidans GN008",2
"Achromobacter sp. AONIH1",2
"Achromobacter xylosoxidans NCTC10807",2
"Achromobacter xylosoxidans NH44784-1996",2
"Achromobacter xylosoxidans NCTC10808",2
"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061",2
"Achromobacter xylosoxidans SOLR10",2
"Acidaminococcus fermentans DSM 20731",2
"Acidiferrobacter sp. SPIII_3",2
"Acidihalobacter ferrooxydans V8",2
"Acidihalobacter prosperus F5",2
"Acidihalobacter prosperus V6",2
"Acidimicrobium ferrooxidans DSM 10331",0
"Achromobacter xylosoxidans FDAARGOS_984",2
"Acidiphilium multivorum AIU301",2
"Achromobacter xylosoxidans MN001",2
"Acidipropionibacterium acidipropionici ATCC 55737",2
"Acidipropionibacterium acidipropionici ATCC 4875",2
"Acidipropionibacterium acidipropionici F3E8",2
"Acidipropionibacterium acidipropionici CGMCC 1.2230",2
"Achromobacter xylosoxidans GN050",2
"Acidaminococcus intestini RyC-MR95",2
"Acidipropionibacterium acidipropionici FAM 19036",2
"Acidipropionibacterium acidipropionici WGS7",2
"Acidipropionibacterium acidipropionici WSH1105",2
"Acidipropionibacterium jensenii JS279",2
"Acidipropionibacterium jensenii FAM 19038",2
"Acidipropionibacterium jensenii JS280",2
"Acidipropionibacterium jensenii NCTC13652",2
"Acidiphilium cryptum JF-5",2
"Acidithiobacillus caldus MTH-04",2
"Acidithiobacillus caldus SM-1",2
"Acidithiobacillus caldus ATCC 51756",2
"Acidisarcina polymorpha SBC82",2
"Acidithiobacillus ferridurans JCM 18981",2
"Acidithiobacillus ferrivorans",2
"Acidithiobacillus ferrivorans SS3",2
"Acidipropionibacterium virtanenii JS278",2
"Acidithiobacillus ferrooxidans ATCC 23270",0
"Acidithiobacillus ferrivorans XJFY6S-08",2
"Acidithiobacillus ferrooxidans YNTRS-40",2
"Acidithiobacillus sp. AMD consortium",2
"Acidithiobacillus ferrooxidans ATCC 53993",2
"Acidithiobacillus thiooxidans ATCC 19377",2
"Acidobacteria bacterium Mor1",2
"Acidobacterium capsulatum ATCC 51196",2
"Acidothermus cellulolyticus 11B",2
"Acidovorax antarcticus 16-35-5",2
"Acidovorax avenae subsp. avenae AA78_5",2
"Acidovorax avenae subsp. avenae AA81_1",2
"Acidobacterium sp. 4Y35",2
"Acidovorax avenae subsp. avenae AA99_2",2
"Acidovorax avenae subsp. avenae ATCC 19860",2
"Acidovorax avenae subsp. avenae INDB2",2
"Acidovorax avenae subsp. avenae COLB1",2
"Acidovorax avenae subsp. avenae INV",2
"Acidovorax avenae subsp. avenae MDB1",2
"Acidovorax avenae subsp. avenae MOR",2
"Acidovorax avenae subsp. avenae NCT3",2
"Acidovorax avenae subsp. avenae QH1",2
"Acidovorax avenae subsp. avenae KL3",2
"Acidovorax avenae subsp. avenae MD5",2
"Acidovorax carolinensis NA3",2
"Acidovorax avenae subsp. avenae SH7",2
"Acidovorax cattleyae CAT98_1",2
"Acidovorax citrulli AAC00-1",2
"Acidovorax citrulli KACC17005",2
"Acidovorax avenae subsp. avenae Sa2",2
"Acidovorax ebreus TPSY",0
"Acidovorax monticola KACC 19171",2
"Acidovorax sp. 1608163",2
"Acidovorax sp. HDW3",2
"Acidovorax sp. JS42",2
"Acidovorax sp. JMULE5",2
"Acidovorax sp. KKS102",2
"Acinetobacter baumannii 10324",2
"Acinetobacter baumannii 11510",2
"Acidovorax sp. RAC01",2
"Acinetobacter baumannii 11A1213CRGN008",2
"Acinetobacter baumannii 11A1213CRGN064",2
"Acinetobacter baumannii 11A1314CRGN089",2
"Acinetobacter baumannii 11A1213CRGN055",2
"Acidovorax citrulli M6",2
"Acinetobacter baumannii 15A34",2
"Acinetobacter baumannii 15A5",2
"Acinetobacter baumannii 11A14CRGN003",2
"Acinetobacter baumannii 11W359501",2
"Acinetobacter baumannii 1656-2",2
"Acinetobacter baumannii 2008S11-069",2
"Acinetobacter baumannii 3207",2
"Acinetobacter baumannii 3027STDY5784958",2
"Acinetobacter baumannii 6200",2
"Acidovorax avenae subsp. avenae QHB1",2
"Acinetobacter baumannii 6507",2
"Acinetobacter baumannii 5457",2
"Acinetobacter baumannii 9201",2
"Acinetobacter baumannii 7835",2
"Acinetobacter baumannii 7847",2
"Acinetobacter baumannii 11A1314CRGN088",2
"Acinetobacter baumannii A1",2
"Acinetobacter baumannii 810CP",2
"Acinetobacter baumannii A1429",2
"Acinetobacter baumannii A118",2
"Acinetobacter baumannii A1296",2
"Acinetobacter baumannii A52",2
"Acinetobacter baumannii Ab-B004d-c",2
"Acinetobacter baumannii A85",2
"Acinetobacter baumannii 7804",2
"Acinetobacter baumannii Ab-C63",2
"Acinetobacter baumannii Ab-C102",2
"Acinetobacter baumannii A388",2
"Acinetobacter baumannii AB0057",2
"Acinetobacter baumannii AB030",2
"Acinetobacter baumannii Ab-D10a-a",2
"Acinetobacter baumannii AB031",2
"Acinetobacter baumannii A320 (RUH134)",2
"Acinetobacter baumannii AB043",2
"Acinetobacter baumannii AB046",2
"Acinetobacter baumannii AB047",2
"Acinetobacter baumannii AB048",2
"Acinetobacter baumannii Ab04-mff",2
"Acinetobacter baumannii Ab421_GEIH-2010",2
"Acinetobacter baumannii AB307-0294",2
"Acinetobacter baumannii AB34299",2
"Acinetobacter baumannii AB053",2
"Acinetobacter baumannii Ab4977",2
"Acinetobacter baumannii Ab4653",2
"Acinetobacter baumannii ab736",2
"Acinetobacter baumannii AB5075-UW",2
"Acinetobacter baumannii AB042",2
"Acinetobacter baumannii Ab4568",2
"Acinetobacter baumannii AbCAN2",2
"Acinetobacter baumannii ABF9692",2
"Acinetobacter baumannii ABCR01",2
"Acinetobacter baumannii AbH12O-A2",2
"Acinetobacter baumannii AbPK1",2
"Acinetobacter baumannii ABNIH28",2
"Acinetobacter baumannii ABUH796",2
"Acinetobacter baumannii ABUH773",2
"Acinetobacter baumannii AC12",2
"Acinetobacter baumannii ABUH763",2
"Acinetobacter baumannii ABUH793",2
"Acinetobacter baumannii AC29",2
"Acinetobacter baumannii ACN21",2
"Acinetobacter baumannii AF-401",2
"Acinetobacter baumannii AR_0056",2
"Acinetobacter baumannii AR_0052",2
"Acinetobacter baumannii AR_0070",2
"Acinetobacter baumannii AR_0078",2
"Acinetobacter baumannii AF-673",2
"Acinetobacter baumannii ACICU",2
"Acinetobacter baumannii AC30",2
"Acinetobacter baumannii AR_0101",2
"Acinetobacter baumannii AR_0088",2
"Acinetobacter baumannii AR_0102",2
"Acinetobacter baumannii AR_0083",2
"Acinetobacter baumannii ATCC 17978",2
"Acinetobacter baumannii ATCC 17978-mff",2
"Acinetobacter baumannii ATCC 19606",2
"Acinetobacter baumannii AYE",2
"Acinetobacter baumannii AYP-A2",2
"Acinetobacter baumannii BJAB07104",2
"Acinetobacter baumannii BJAB0715",2
"Acinetobacter baumannii B8300",2
"Acinetobacter baumannii B8342",2
"Acinetobacter baumannii AR_0063",2
"Acinetobacter baumannii B11911",2
"Acinetobacter baumannii CBA7",2
"Acinetobacter baumannii CIAT758",2
"Acinetobacter baumannii CA-17",2
"Acinetobacter baumannii CMC-CR-MDR-Ab4",2
"Acinetobacter baumannii CMC-CR-MDR-Ab66",2
"Acinetobacter baumannii CUVET-MIC596",2
"Acinetobacter baumannii CMC-MDR-Ab59",2
"Acinetobacter baumannii C25",2
"Acinetobacter baumannii BJAB0868",2
"Acinetobacter baumannii ATCC BAA-1790",2
"Acinetobacter baumannii D1279779",2
"Acinetobacter baumannii DT-Ab007",2
"Acinetobacter baumannii CAM180-1",2
"Acinetobacter baumannii DA33098",2
"Acinetobacter baumannii DT-Ab003",2
"Acinetobacter baumannii DA33382",2
"Acinetobacter baumannii DU202",2
"Acinetobacter baumannii DT-Ab022",2
"Acinetobacter baumannii DT-Ab020",2
"Acinetobacter baumannii E47",2
"Acinetobacter baumannii DS002",2
"Acinetobacter baumannii EC",2
"Acinetobacter baumannii FDAARGOS_1036",2
"Acinetobacter baumannii FDAARGOS_540",2
"Acinetobacter baumannii FDAARGOS_533",2
"Acinetobacter baumannii IOMTU 433",2
"Acinetobacter baumannii J9",2
"Acinetobacter baumannii DT-Ab057",2
"Acinetobacter baumannii HRAB-85",2
"Acinetobacter baumannii K09-14",2
"Acinetobacter baumannii JBA13",2
"Acinetobacter baumannii KAB01",2
"Acinetobacter baumannii KAB02",2
"Acinetobacter baumannii KAB03",2
"Acinetobacter baumannii KAB04",2
"Acinetobacter baumannii KAB05",2
"Acinetobacter baumannii KAB06",2
"Acinetobacter baumannii D36",2
"Acinetobacter baumannii KAB08",2
"Acinetobacter baumannii KAB07",2
"Acinetobacter baumannii EH",2
"Acinetobacter baumannii LAC-4",2
"Acinetobacter baumannii KBN10P02143",2
"Acinetobacter baumannii LAC4",2
"Acinetobacter baumannii MDR-CQ",2
"Acinetobacter baumannii MDR-UNC",2
"Acinetobacter baumannii HWBA8",2
"Acinetobacter baumannii MDR-ZJ06",2
"Acinetobacter baumannii MRSN15313",2
"Acinetobacter baumannii MS14413",2
"Acinetobacter baumannii MDR-TJ",2
"Acinetobacter baumannii N13-03449",2
"Acinetobacter baumannii NCGM 237",2
"Acinetobacter baumannii NCIMB 8209",2
"Acinetobacter baumannii NU-60",2
"Acinetobacter baumannii PB364",2
"Acinetobacter baumannii PG20180064",2
"Acinetobacter baumannii NCTC13421",2
"Acinetobacter baumannii PKAB07",2
"Acinetobacter baumannii PM192696",2
"Acinetobacter baumannii PM193665",2
"Acinetobacter baumannii PM194188",2
"Acinetobacter baumannii PM1912235",2
"Acinetobacter baumannii ORAB01",2
"Acinetobacter baumannii SAA14",2
"Acinetobacter baumannii SDF",2
"Acinetobacter baumannii PR07",2
"Acinetobacter baumannii S1; AB1A2",2
"Acinetobacter baumannii PM194229",2
"Acinetobacter baumannii P7774",2
"Acinetobacter baumannii SSA6",2
"Acinetobacter baumannii TG22182",2
"Acinetobacter baumannii SSMA17",2
"Acinetobacter baumannii TCDC-AB0715",2
"Acinetobacter baumannii SP304",2
"Acinetobacter baumannii TG31986",2
"Acinetobacter baumannii TG60155",2
"Acinetobacter baumannii TP1",2
"Acinetobacter baumannii TG29392",2
"Acinetobacter baumannii UPAB1",2
"Acinetobacter baumannii VB11737",2
"Acinetobacter baumannii USA15",2
"Acinetobacter baumannii USA2",2
"Acinetobacter baumannii TYTH-1",2
"Acinetobacter baumannii VB1190",2
"Acinetobacter baumannii VB2181",2
"Acinetobacter baumannii VB16141",2
"Acinetobacter baumannii SSA12",2
"Acinetobacter baumannii VB23193",2
"Acinetobacter baumannii VB2200",2
"Acinetobacter baumannii VB33071",2
"Acinetobacter baumannii VB2486",2
"Acinetobacter baumannii VB35179",2
"Acinetobacter baumannii TG31302",2
"Acinetobacter baumannii VB31459",2
"Acinetobacter baumannii VB35575",2
"Acinetobacter baumannii VB473",2
"Acinetobacter baumannii VB723",2
"Acinetobacter baumannii VB7036",2
"Acinetobacter baumannii VB2139",2
"Acinetobacter baumannii WCHAB005133",2
"Acinetobacter baumannii WCHAB005078",2
"Acinetobacter baumannii VB2107",2
"Acinetobacter baumannii VB82",2
"Acinetobacter baumannii VB958",2
"Acinetobacter baumannii XH731",2
"Acinetobacter baumannii XH386",2
"Acinetobacter baumannii WKA02",2
"Acinetobacter baumannii VB35435",2
"Acinetobacter baumannii WPB103",2
"Acinetobacter baumannii XDR-BJ83",2
"Acinetobacter baumannii XH856",2
"Acinetobacter baumannii XH858",2
"Acinetobacter baumannii XH859",2
"Acinetobacter baumannii XH860",2
"Acinetobacter baumannii XH906",2
"Acinetobacter baumannii XL380",2
"Acinetobacter baumannii WM99c",2
"Acinetobacter baumannii ZS3",2
"Acinetobacter baumannii ZW85-1",2
"Acinetobacter calcoaceticus CA16",2
"Acinetobacter calcoaceticus NCTC7364",2
"Acinetobacter baumannii XH731 (14 days)",2
"Acinetobacter baumannii YU-R612",2
"Acinetobacter baumannii XH857",2
"Acinetobacter cumulans WCHAc060092",2
"Acinetobacter chinensis WCHAc010005",2
"Acinetobacter dispersus NCCP 16014",2
"Acinetobacter equi 114",2
"Acinetobacter defluvii WCHA30",2
"Acinetobacter haemolyticus 11616",2
"Acinetobacter guillouiae NBRC 110550",2
"Acinetobacter bereziniae XH901",2
"Acinetobacter baylyi ADP1",2
"Acinetobacter gyllenbergii NCCP 16015",2
"Acinetobacter calcoaceticus FDAARGOS_1218",2
"Acinetobacter haemolyticus 2126ch",2
"Acinetobacter haemolyticus 5227",2
"Acinetobacter haemolyticus AN3",2
"Acinetobacter haemolyticus AN4",2
"Acinetobacter haemolyticus AN43",2
"Acinetobacter haemolyticus AN54",2
"Acinetobacter haemolyticus XH900",2
"Acinetobacter haemolyticus sz1652",2
"Acinetobacter indicus 80-1-2",2
"Acinetobacter haemolyticus TJR01",2
"Acinetobacter haemolyticus TJS01",2
"Acinetobacter haemolyticus INNSZ174",2
"Acinetobacter haemolyticus AN59",2
"Acinetobacter indicus C15_T",2
"Acinetobacter indicus CMG3-2",2
"Acinetobacter indicus HY20",2
"Acinetobacter indicus GXNN62X4",2
"Acinetobacter indicus B18",2
"Acinetobacter indicus FS42-2",2
"Acinetobacter indicus 94-2",2
"Acinetobacter indicus Q186-3_T",2
"Acinetobacter indicus LYS68A",2
"Acinetobacter indicus yy_1",2
"Acinetobacter johnsonii Acsw19",2
"Acinetobacter johnsonii LXL_C1",2
"Acinetobacter johnsonii M19",2
"Acinetobacter johnsonii IC001",2
"Acinetobacter johnsonii XBB1",2
"Acinetobacter johnsonii XY27",2
"Acinetobacter junii CAM121",2
"Acinetobacter junii lzh-X15",2
"Acinetobacter junii 65",2
"Acinetobacter johnsonii E10B",2
"Acinetobacter lactucae OTEC-02",2
"Acinetobacter junii WCHAJ59",2
"Acinetobacter indicus SGAir0564",2
"Acinetobacter lanii 185",2
"Acinetobacter lwoffii NCTC5866",2
"Acinetobacter lwoffii FDAARGOS_557",2
"Acinetobacter lwoffii FDAARGOS_551",2
"Acinetobacter lwoffii 12CE1",2
"Acinetobacter lwoffii ZS207",2
"Acinetobacter indicus MMS9-2",2
"Acinetobacter nosocomialis 2012C01-137",2
"Acinetobacter nosocomialis 2010S01-197",2
"Acinetobacter nosocomialis 6411",2
"Acinetobacter nosocomialis AC1530",2
"Acinetobacter nosocomialis 2010N17-248",2
"Acinetobacter nosocomialis FDAARGOS_129",2
"Acinetobacter lwoffii FDAARGOS_552",2
"Acinetobacter nosocomialis J1A",2
"Acinetobacter nosocomialis KAN02",2
"Acinetobacter nosocomialis M2",2
"Acinetobacter nosocomialis NCTC 8102",2
"Acinetobacter larvae BRTC-1",2
"Acinetobacter nosocomialis KAN01",2
"Acinetobacter nosocomialis SSA3",2
"Acinetobacter nosocomialis 2014N23-120",2
"Acinetobacter nosocomialis WM98B",2
"Acinetobacter nosocomialis 2014S01-097",2
"Acinetobacter oleivorans DR1",2
"Acinetobacter pittii 2010C01-170",2
"Acinetobacter piscicola YH12207_T",2
"Acinetobacter pittii 2012N21-164",2
"Acinetobacter pittii 2012N08-034",2
"Acinetobacter pittii 2014N05-125",2
"Acinetobacter pittii 2014N21-145",2
"Acinetobacter pittii A1254",2
"Acinetobacter pittii 2014S07-126",2
"Acinetobacter pittii C54",2
"Acinetobacter pittii 2014S06-099",2
"Acinetobacter pittii NQ-003",2
"Acinetobacter pittii PHEA-2",2
"Acinetobacter pittii AP007",2
"Acinetobacter pittii AP_882",2
"Acinetobacter pittii JXA13",2
"Acinetobacter pittii WCHAP005046",2
"Acinetobacter pittii WCHAP005069",2
"Acinetobacter pittii AP43",2
"Acinetobacter pittii WCHAP100004",2
"Acinetobacter pittii ST220",2
"Acinetobacter pittii WCHAP100020",2
"Acinetobacter pittii XJ88",2
"Acinetobacter pittii IEC338SC",2
"Acinetobacter pittii WP2-W18-ESBL-11",2
"Acinetobacter pittii YMC2010/8/T346",2
"Acinetobacter radioresistens FDAARGOS_731",2
"Acinetobacter radioresistens DD78",2
"Acinetobacter schindleri HZE23-1",2
"Acinetobacter schindleri HZE30-1",2
"Acinetobacter schindleri HZE33-1",2
"Acinetobacter schindleri ACE",2
"Acinetobacter radioresistens LH6",2
"Acinetobacter seifertii AS51",2
"Acinetobacter schindleri SGAir0122",2
"Acinetobacter seifertii AS42",2
"Acinetobacter seifertii AS53",2
"Acinetobacter sp. 10FS3-1",2
"Acinetobacter shaoyimingii 323-1",2
"Acinetobacter seifertii S21",2
"Acinetobacter sp. Ac-14",2
"Acinetobacter sp. ACNIH2",2
"Acinetobacter sp. C16S1",2
"Acinetobacter sp. ACNIH1",2
"Acinetobacter sp. BEC1-S18-ESBL-01",2
"Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788",2
"Acinetobacter sp. CS-2",2
"Acinetobacter sp. FDAARGOS_493",2
"Acinetobacter sp. DUT-2",2
"Acinetobacter sp. FDAARGOS_494",2
"Acinetobacter sp. FDAARGOS_560",2
"Acinetobacter sp. LoGeW2-3",2
"Acinetobacter sp. MYb10",2
"Acinetobacter sp. NEB149",2
"Acinetobacter sp. NEB 394",2
"Acinetobacter sp. TGL-Y2",2
"Acinetobacter sp. TTH0-4",2
"Acinetobacter sp. NCu2D-2",2
"Acinetobacter sp. WCHA45",2
"Acinetobacter soli GFJ2",2
"Acinetobacter sp. WCHA55",2
"Acinetobacter sp. TTH0-4 1BD1",2
"Acinetobacter sp. YH12138 YH12138_T",2
"Acinetobacter sp. WCHAc010034",2
"Acinetobacter sp. WCHAc010052",2
"Acinetobacter towneri GX3",2
"Acinetobacter sp. FDAARGOS_724",2
"Acinetobacter towneri GX7",2
"Acinetobacter ursingii FDAARGOS_1095",2
"Acinetobacter ursingii M3",2
"Acinetobacter variabilis RYU24",2
"Acinetobacter variabilis XM9F202-2",2
"Acinetobacter wanghuae dk386",2
"Acinetobacter towneri GX5",2
"Acinetobacter venetianus TUST-DM21",2
"Acinetobacter ursingii FDAARGOS_1096",2
"Acinetobacter wuhouensis WCHA60",2
"Acinetobacter towneri 205",2
"Actinoalloteichus fjordicus ADI127-7",2
"Acinetobacter tandoii SE63",2
"Actinoalloteichus hoggarensis DSM 45943",2
"Actinoalloteichus sp. AHMU CJ021",2
"Actinobacillus delphinicola NCTC12871",2
"Actinobacillus equuli NCTC8529",2
"Acinetobacter towneri 19110F47",2
"Actinobacillus equuli NCTC9435",2
"Actinobacillus equuli subsp. equuli 19392",2
"Actinobacillus indolicus AIFJ1607",2
"Actinobacillus lignieresii NCTC10568",2
"Acinetobacter wuhouensis WCHAW010062",2
"Actinoalloteichus sp. GBA129-24",2
"Actinobacillus pleuropneumoniae NCTC10976",2
"Actinobacillus pleuropneumoniae KL 16",2
"Actinobacillus pleuropneumoniae App6",2
"Actinobacillus pleuropneumoniae serovar 5b str. L20",2
"Actinobacillus pleuropneumoniae serovar 1 str. 4074",2
"Actinobacillus pleuropneumoniae serovar 3 str. JL03",2
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",2
"Actinobacillus pleuropneumoniae serovar 8",2
"Actinobacillus porcitonsillarum 9953L55",2
"Actinoalloteichus hymeniacidonis HPA177(T) (=DSM 45092(T))",2
"Actinobacillus suis H91-0380",2
"Actinobacillus suis ATCC 33415",2
"Actinobacillus succinogenes 130Z",2
"Actinobacteria bacterium IMCC25003",2
"Actinobacillus suis NCTC12996",2
"Actinobacteria bacterium IMCC26103",2
"Actinobacteria bacterium IMCC26256",2
"Actinobacteria bacterium YIM 96077",2
"Actinobacillus pleuropneumoniae NCTC11384",2
"Actinobacillus sp. GY-402",2
"Actinobacillus pleuropneumoniae S4074",2
"Actinomyces israelii NCTC12972",2
"Actinomyces howellii NCTC11636",2
"Actinomadura sp. WMMB499",2
"Actinocatenispora thailandica NBRC 105041",2
"Actinomadura sp. NAK00032",2
"Actinocatenispora sera NBRC 101916",2
"Actinomadura verrucosospora NRRL:B18236",2
"Actinomyces oris T14V",2
"Actinomyces radicidentis CCUG 36733",2
"Actinomyces naeslundii FDAARGOS_1037",2
"Actinomyces marmotae zg-325",2
"Actinomyces lilanjuaniae 2129",2
"Actinomyces naeslundii ATCC 27039",2
"Actinomyces oris FDAARGOS_1051",2
"Actinomyces slackii NCTC11923",2
"Actinomyces sp. oral taxon 171 str. F0337",2
"Actinomyces sp. HMT 175",2
"Actinomyces sp. oral taxon 169 F0496",2
"Actinomyces sp. Chiba101",2
"Actinomyces sp. HMT897",2
"Actinomyces sp. 432",2
"Actinomyces sp. oral taxon 897 F0631",2
"Actinomyces sp. zg-332",2
"Actinomyces sp. ZJ750",2
"Actinomyces weissii CCUG 61299",2
"Actinomyces viscosus NCTC10951",2
"Actinoplanes derwentensis DSM 43941",2
"Actinoplanes friuliensis DSM 7358",2
"Actinoplanes ianthinogenes NBRC 13996",2
"Actinoplanes sp. N902-109",2
"Actinoplanes sp. OR16",2
"Actinoplanes sp. NBRC 14428",2
"Actinoplanes missouriensis 431",0
"Actinoplanes sp. SE50",2
"Actinomyces sp. oral taxon 414 F0588",2
"Actinosynnema pretiosum subsp. pretiosum ATCC 31280",2
"Actinotignum schaalii CCUG 27420",2
"Actinopolyspora erythraea YIM 90600",2
"Actinoplanes sp. SE50/110",2
"Acutalibacter muris KB18",2
"Actinosynnema pretiosum X47",2
"Adhaeribacter swui KCTC 52873",2
"Adhaeribacter radiodurans KUDC8001",2
"Actinosynnema mirum DSM 43827",1
"Adlercreutzia equolifaciens DSM 19450",2
"Adlercreutzia sp. 8CFCBH1",2
"Actinopolymorpha singaporensis DSM 22024",2
"Advenella kashmirensis WT001",2
"Advenella mimigardefordensis DPN7",2
"Aequorivita sp. H23M31",2
"Aequorivita sp. KX20305",2
"Aeoliella mucimassa Pan181",2
"Aeribacillus pallidus KCTC3564",2
"Aeribacillus pallidus PI8",2
"Aequorivita sublithincola DSM 14238",0
"Aerococcus sanguinicola CCUG43001",2
"Aerococcus urinae ACS-120-V-Col10a",2
"Aerococcus urinae CCUG36881",2
"Aerococcaceae bacterium zg-1292",2
"Aerococcaceae bacterium zg-252",2
"Aerococcus urinaeequi CCUG28094",2
"Aerococcus urinaeequi T43",2
"Aerococcus urinaeequi USDA-ARS-USMARC-56713",2
"Aerococcus viridans CCUG4311",2
"Aeromicrobium chenweiae 592",2
"Aerococcus viridans FDAARGOS_672",2
"Aeromicrobium choanae 9H-4",2
"Aeromicrobium erythreum AR18",2
"Aeromicrobium sp. A1-2",2
"Aerococcus urinaehominis CCUG42038B",2
"Aeromonas caviae 1507-17068",2
"Aeromicrobium sp. zg-629",2
"Aeromicrobium yanjiei MF47",2
"Aeromonas caviae 1605-27183",2
"Aeromonas allosaccharophila FDAARGOS_933",2
"Aeromonas aquatica MX16A",2
"Aeromonas caviae Aero21",2
"Aeromonas caviae 8LM",2
"Aerococcus christensenii CCUG28831",2
"Aeromonas caviae Aero52",2
"Aeromonas caviae 1607-10029",2
"Aeromonas caviae FDAARGOS_72",2
"Aeromonas caviae GSH8M-1",2
"Aeromonas caviae KAM329",2
"Aeromonas caviae R25-2",2
"Aeromonas caviae KAM376",2
"Aeromonas caviae NCTC12244",2
"Aeromonas caviae SS332",2
"Aeromonas caviae WP2-W18-ESBL-01",2
"Aeromonas caviae WCW1-2",2
"Aeromonas caviae WP3-S18-ESBL-02",2
"Aeromonas caviae WP8-S17-ESBL-03",2
"Aeromonas caviae R25-6",2
"Aeromonas caviae WP5-W18-ESBL-02",2
"Aeromonas caviae T25-39",2
"Aeromonas caviae WP8-S18-ESBL-04",2
"Aeromonas caviae WP8-S18-CRE-01",2
"Aeromonas dhakensis 1706-28330",2
"Aeromonas dhakensis Aer_On24M",2
"Aeromonas encheleia NCTC12917",2
"Aeromonas hydrophila 23-C-23",2
"Aeromonas hydrophila 2359",2
"Aeromonas hydrophila Aer_OnP2.2",2
"Aeromonas hydrophila Aer_OnP4.2",2
"Aeromonas hydrophila 4AK4",2
"Aeromonas hydrophila 3206",2
"Aeromonas hydrophila Aer_LaG33",2
"Aeromonas dhakensis KN-Mc-6U21",2
"Aeromonas hydrophila Aer_LaG34",2
"Aeromonas hydrophila AH10",2
"Aeromonas hydrophila AL06-06",2
"Aeromonas hydrophila AHNIH1",2
"Aeromonas hydrophila AL09-71",2
"Aeromonas hydrophila D4",2
"Aeromonas hydrophila Brac6",2
"Aeromonas hydrophila B11",2
"Aeromonas hydrophila GSH8-2",2
